"Name";"VMHost";"PowerState";"Vmtools"
"CI00119728-SV-ARG-SERIS-P1";"sharbehaesx134.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00117588-SV-ARG-UMTES-I35";"sharbehaesx083.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00079868-SV-ARG-TABL-P02";"sharbehaesx150.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI76988-SV-ARG-CRYST-P1";"sharbehaesx025.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00077086-SV-ARG-ENCLG-P1";"sharbehaesx144.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI68233-SV-ARG-SPARX-P2";"sharbehaesx026.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI68232-SV-ARG-SPARX-P1";"sharbehaesx025.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00013765-SV-ARG-SFT-P1";"sharbehaesx001.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI99672-SV-ARG-SEM-P1";"sharbehaesx031.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00034551-SV-ARG-SCCM-P1";"sharbehaesx111.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00089030-SV-ARG-SASTS-P2";"sharbehaesx149.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00088989-SV-ARG-SASMIT-P2";"sharbehaesx117.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00034944-SV-ARG-EFSW-P1";"sharbehaesx094.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00086164-SV-ARG-SASMIT-P1";"sharbehaesx121.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00086165-SV-ARG-SASMETA-P1";"sharbehaesx117.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI54649-SV-ARG-SANME-P1";"sharbehaesx029.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00024767-SV-ARG-REMTS-P1";"sharbehaesx022.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00021560-SV-ARG-RECTS-P1";"sharbehaesx161.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00089511-SV-ARG-RAPS-F3";"sharbehaesx158.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00022837-SV-ARG-NGMS-P1";"sharbehaesx169.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI92762-SV-ARG-MGMT-P1";"sharbehaesx158.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00088988-SV-ARG-SASMETA-P2";"sharbehaesx116.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00119729-SV-ARG-SERIS-P2";"sharbehaesx133.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00034800-SV-ARG-EVDAC-P1";"sharbehaesx056.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI83694-SV-ARG-FTP-P1";"sharbehaesx141.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI78776-SWARG166";"sharbehaesx125.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI78772-SWARG161";"sharbehaesx107.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI78771-SWARG160";"sharbehaesx110.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI78758-SWARG145";"sharbehaesx111.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI78757-SWARG144";"sharbehaesx105.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI78756-SWARG143";"sharbehaesx110.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI78755-SWARG142";"sharbehaesx102.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI78781-SWARG189";"sharbehaesx102.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI78742-SWARG122";"sharbehaesx036.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
